affectation_actuelle;affectation_9_juillet;affectation_3_septembre;affectation_4_mars;affectation_26_aout;parc_keolis;contrat_michelin;immatriculation;n_de_serie;mise_en_circulation;modele;certificat_immatriculation;nouvelle_licence_communautaire;gabarit;nb_places;id_modele
JP;JP;JP;JP;JP;119125;+;BY-523-XC;WEB62808313702667;12/12/2011;CITARO;KPA Rue Georges Claude;68;Autobus standard;108;1
JP;JP;JP;JP;JP;119126;+;BY-534-XC;WEB62808313702662;12/12/2011;CITARO;KPA Rue Georges Claude;86;Autobus standard;108;1
JP;GC;JP;JP;JP;119127;+;BY-546-XC;WEB62808313702661;12/12/2011;CITARO;KPA Rue Georges Claude;89;Autobus standard;108;1
JP;JP;JP;JP;JP;119128;+;BY-555-XC;WEB62808313702675;12/12/2011;CITARO;KPA Rue Georges Claude;87;Autobus standard;108;1
JP;JP;JP;JP;JP;119129;+;BY-562-XC;WEB62808313702659;12/12/2011;CITARO;KPA Rue Georges Claude;copie;Autobus standard;108;1
JP;GC;GC;JP;JP;119130;+;BY-570-XC;WEB62808313702666;12/12/2011;CITARO;KPA Rue Georges Claude;23;Autobus standard;108;1
JP;GC;GC;JP;JP;119131;+;BY-577-XC;WEB62808313702663;12/12/2011;CITARO;KPA Rue Georges Claude;91;Autobus standard;108;1
JP;JP;JP;JP;JP;119133;+;BY-875-XD;WEB62808313702674;12/12/2011;CITARO;KPA Rue Georges Claude;24;Autobus standard;108;1
JP;JP;JP;JP;JP;119134;+;BY-826-XD;WEB62808313702676;12/12/2011;CITARO;KPA Rue Georges Claude;65;Autobus standard;108;1
JP;JP;JP;JP;JP;119135;+;BY-858-XD;WEB62808313702677;12/12/2011;CITARO;KPA Rue Georges Claude;52;Autobus standard;108;1
JP;JP;JP;JP;JP;119136;+;BY-840-XD;WEB62808313702678;12/12/2011;CITARO;KPA Rue des Cordeliers;61;Autobus standard;108;1
JP;JP;JP;JP;JP;119137;+;BY-869-XD;WEB62808313702679;12/12/2011;CITARO;KPA Rue Georges Claude;59;Autobus standard;108;1
JP;GC;JP;JP;JP;119138;+;BY-805-XD;WEB62808313702680;12/12/2011;CITARO;KPA Rue Georges Claude;60;Autobus standard;108;1
JP;JP;JP;JP;JP;119139;+;BY-815-XD;WEB62808313702681;12/12/2011;CITARO;KPA Rue des Cordeliers;69;Autobus standard;108;1
JP;JP;JP;JP;JP;119140;+;BY-849-XD;WEB62808313702683;12/12/2011;CITARO;KPA Rue Georges Claude;66;Autobus standard;108;1
JP;JP;JP;JP;JP;119141;+;BY-788-XD;WEB62808313702684;14/12/2011;CITARO;KPA Rue des Cordeliers;74;Autobus standard;108;1
GC;"";JP;JP;GC;129048;+;CH-607-TG;WEB62808310604027;16/07/2012;CITARO;SAP Vence;"";Autobus standard;108;1
GC;"";"";GC;GC;129138;-;CN-422-NE;WEB62808310604327;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
JP;GC;"";JP;JP;069294;-;CM-532-EX;WKK62878713102918;07/12/2006;SETRA 415 NF;Evobus;"";Autobus standard;"";2
JP;GC;"";JP;JP;069292;-;CM-868-RY;WKK62878713102885;07/12/2006;SETRA 415 NF;Evobus;"";Autobus standard;"";2
GC;GC;GC;GC;GC;113205;+;BZ-625-GP;VNESFR1610M013369;20/12/2011;CROSSWAY LE;KPA Rue des Roseaux;21;Autobus low entry;108;4
GC;GC;SUMA;"";GC;132040;-;CX-570-NF;WDB9061551N547004;02/08/2013;SPRINTER;KPA Rue Georges Claude;"";Minibus +;23;8
GC;"";"";GC;GC;079367;-;CQ-085-YY;WKK62878713104926;05/12/2007;SETRA 415 NF;Evobus;"";Autobus standard;"";2
GC;GC;GC;GC;GC;113206;+;BZ-014-GP;VNESFR1610M013361;20/12/2011;CROSSWAY LE;KPA Rue Georges Claude;98;Autobus low entry;108;4
GC;GC;GC;GC;GC;113207;+;BZ-423-GN;VNESFR1610M013358;20/12/2011;CROSSWAY LE;KPA Rue Georges Claude;19;Autobus low entry;108;4
JP;JP;JP;JP;JP;113208;+;BZ-865-GM;VNESFR1610M013356;20/12/2011;CROSSWAY LE;KPA Rue des Roseaux;95;Autobus low entry;108;4
GC;GC;GC;GC;GC;113209;+;BZ-306-GM;VNESFR1610M013350;20/12/2011;CROSSWAY LE;KPA Rue Georges Claude;17;Autobus low entry;108;4
JP;JP;JP;JP;JP;113210;+;BZ-935-GL;VNESFR1610M013348;20/12/2011;CROSSWAY LE;KPA Rue Georges Claude;78;Autobus low entry;108;4
JP;JP;JP;JP;JP;113211;+;BZ-814-GL;VNESFR1610M013343;20/12/2011;CROSSWAY LE;KPA Rue des Roseaux;"";Autobus low entry;108;4
JP;JP;JP;JP;JP;113212;+;BZ-765-GL;VNESFR1610M013341;20/12/2011;CROSSWAY LE;KPA Rue des Roseaux;72;Autobus low entry;108;4
JP;JP;JP;JP;JP;113213;+;BZ-685-GL;VNESFR1610M013337;20/12/2011;CROSSWAY LE;KPA Rue des Roseaux;84;Autobus low entry;108;4
JP;JP;JP;JP;JP;113214;+;BZ-592-GL;VNESFR1610M013335;20/12/2011;CROSSWAY LE;KPA Rue des Roseaux;79;Autobus low entry;108;4
JP;JP;JP;JP;JP;113215;+;BZ-483-GL;VNESFR1610M013330;20/12/2011;CROSSWAY LE;KPA Rue Georges Claude;82;Autobus low entry;108;4
